opcode,obf,real,dir,declared_len,field_idx,field_name,type,bytes,note
3148,dh_0,NotificationFriendOnlineMessage,S2C,,3,,i64,8,
3148,dh_0,NotificationFriendOnlineMessage,S2C,,4,,i16,2,
3148,dh_0,NotificationFriendOnlineMessage,S2C,,5,,i8,1,
3148,dh_0,NotificationFriendOnlineMessage,S2C,,6,,i64,8,
3150,pv_0,NotificationFriendOfflineMessage,S2C,,0,,u8,1,
3150,pv_0,NotificationFriendOfflineMessage,S2C,,1,,u8,1,
3151,acS,UserChannelContentMessage,C2S,1 + byArray.length + 1 + byArray2.length,0,,i8/bytes,0,
3151,acS,UserChannelContentMessage,C2S,1 + byArray.length + 1 + byArray2.length,1,,i8/bytes,0,
3151,acS,UserChannelContentMessage,C2S,1 + byArray.length + 1 + byArray2.length,2,,i8/bytes,0,
3151,acS,UserChannelContentMessage,C2S,1 + byArray.length + 1 + byArray2.length,3,,i8/bytes,0,
3152,ck_0,VicinityContentMessage,S2C,,0,,u8,1,
3152,ck_0,VicinityContentMessage,S2C,,1,,i64,8,
3152,ck_0,VicinityContentMessage,S2C,,2,,i16,2,
3153,bb_0,UserVicinityContentMessage,C2S,2 + byArray.length,0,,i16,2,
3153,bb_0,UserVicinityContentMessage,C2S,2 + byArray.length,1,,i8/bytes,0,
3154,ais_2,PrivateContentMessage,S2C,,0,,u8,1,
3154,ais_2,PrivateContentMessage,S2C,,1,,i64,8,
3154,ais_2,PrivateContentMessage,S2C,,2,,u8,1,
3155,Xk,UserPrivateContentMessage,C2S,1 + byArray2.length + 1 + byArray.length,0,,i8/bytes,0,
3155,Xk,UserPrivateContentMessage,C2S,1 + byArray2.length + 1 + byArray.length,1,,i8/bytes,0,
3155,Xk,UserPrivateContentMessage,C2S,1 + byArray2.length + 1 + byArray.length,2,,i8/bytes,0,
3155,Xk,UserPrivateContentMessage,C2S,1 + byArray2.length + 1 + byArray.length,3,,i8/bytes,0,
3156,kz_1,FriendAddedMessage,S2C,,0,,u8,1,
3156,kz_1,FriendAddedMessage,S2C,,1,,u8,1,
3156,kz_1,FriendAddedMessage,S2C,,2,,i64,8,
3156,kz_1,FriendAddedMessage,S2C,,3,,i16,2,
3156,kz_1,FriendAddedMessage,S2C,,4,,i8,1,
3156,kz_1,FriendAddedMessage,S2C,,5,,i16,2,
3158,ft_0,IgnoreAddedMessage,S2C,,0,,u8,1,
3158,ft_0,IgnoreAddedMessage,S2C,,1,,u8,1,
3159,afq_0,,C2S,2 + byArray.length,0,,i16,2,
3159,afq_0,,C2S,2 + byArray.length,1,,i8/bytes,0,
3160,adw_1,FriendRemovedMessage,S2C,,0,,u8,1,
3161,aux_,,C2S,10 + byArray.length,0,,i64,8,
3161,aux_,,C2S,10 + byArray.length,1,,i16,2,
3161,aux_,,C2S,10 + byArray.length,2,,i8/bytes,0,
3162,ahm_0,IgnoreRemovedMessage,S2C,,0,,u8,1,
3164,jH,NotificationIgnoreOnlineMessage,S2C,,0,,u8,1,
3164,jH,NotificationIgnoreOnlineMessage,S2C,,1,,i64,8,
3166,jf_0,NotificationIgnoreOfflineMessage,S2C,,0,,u8,1,
3168,ayy,,S2C,,0,,u8,1,
3168,ayy,,S2C,,1,,i64,8,
3168,ayy,,S2C,,2,,i16,2,
3170,aik_1,,S2C,,0,,u8,1,
3170,aik_1,,S2C,,1,,i64,8,
3170,aik_1,,S2C,,2,,i16,2,
3198,ano_1,,S2C,,0,,u8,1,
3198,ano_1,,S2C,,1,,i64,8,
3198,ano_1,,S2C,,2,,i16,2,
3199,ak,,C2S,2 + byArray.length + 8,0,,i16,2,
3199,ak,,C2S,2 + byArray.length + 8,1,,i8/bytes,0,
3199,ak,,C2S,2 + byArray.length + 8,2,,i64,8,
3202,qv_0,ChannelNotFoundMessage,S2C,,0,,i8,1,
3204,ve_1,UserNotFoundMessage,S2C,,0,,i8,1,
3206,amd_1,MalformedCommandMessage,S2C,,,(no fields / empty),,,
3208,ez_2,MemberNotFoundMessage,S2C,,0,,i8,1,
3210,lx_0,NotEnoughPrivilegesMessage,S2C,,,(no fields / empty),,,
3212,adm_0,NotYetImplementedMessage,S2C,,,(no fields / empty),,,
