opcode,real_class,package,direction,fp_write,fp_read
2303,OpponentSearchCancelMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.clientToServer,C2S,,
2304,OpponentSearchInProgressMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,
2306,OpponentSearchCancelResultMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,
2400,PlayerStatisticsReportMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,Sb
3128,ChannelFlagsMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbb
3129,AddFriendMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,bb,
3130,ChannelJoinMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbbbb
3131,AddIgnoreMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,bb,
3132,ChannelLeaveMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbbb
3133,RemoveFriendMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,bb,
3134,ChannelMemberFlagsMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbbbb
3135,RemoveIgnoreMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,bb,
3136,ChannelMemberKickMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbbbbb
3138,ChannelMembersMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbb
3140,ChannelContentMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbbbbb
3142,ChatUserFlagsMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbb
3144,FriendListMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbbbL
3146,IgnoreListMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbb
3148,NotificationFriendOnlineMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbL
3150,NotificationFriendOfflineMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bb
3151,UserChannelContentMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,bbbb,
3152,VicinityContentMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbLbb
3153,UserVicinityContentMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,Sb,
3154,PrivateContentMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbLbb
3155,UserPrivateContentMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.clientToServer,C2S,bbbb,
3156,FriendAddedMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbL
3158,IgnoreAddedMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bb
3160,FriendRemovedMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bb
3162,IgnoreRemovedMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bb
3164,NotificationIgnoreOnlineMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bbL
3166,NotificationIgnoreOfflineMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient,S2C,,bb
3202,ChannelNotFoundMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,bb
3204,UserNotFoundMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,bb
3206,MalformedCommandMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,
3208,MemberNotFoundMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,bb
3210,NotEnoughPrivilegesMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,
3212,NotYetImplementedMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,
3214,TargetIsYourselfMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,
3216,OperationNotPermitedMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage,S2C,,
4096,ActorSpawnMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,Ib
4098,ActorDespawnMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,bL
4102,ActorAppearMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,bLIISb
4104,ActorDisapearMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,SL
4106,ActorRepositionMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,SLIIS
4300,FightInvitationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient,S2C,,LbbIbbLbLbb
4301,FightInvitationRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer,C2S,LbI,
4302,FightInvitationAcceptedMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient,S2C,,LL
4303,SetReadyForFightMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.clientToServer,C2S,LbLLb,
4304,FightInvitationRejectedMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient,S2C,,L
4305,FightInvitationAcceptMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer,C2S,L,
4306,ReadyForFightMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,bL
4307,FightInvitationRejectMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer,C2S,L,
4309,FightInvitationErrorMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient,S2C,,
4310,FightCreationCanceledMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,Lb
4311,FightCreationCancelMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.clientToServer,C2S,L,
4321,EndFightDoneMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,,
4500,ActorMovementMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,LIIS
4501,CoachActorMovementRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer,C2S,IIS,
4503,FighterActorMovementRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer,C2S,LIIS,
4506,FighterTackledMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,LL
4510,ActorTeleportsMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.actor,S2C,,LIIS
4520,FighterDiesMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,L
4521,FighterActorDirectionChangeRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,Lb,
4522,FighterChangeDirectionMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,Lb
4524,FighterMoveMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,LIIS
4600,EnterInstanceMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient,S2C,,FFSSb
5000,NoInstanceServerAvailableMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.serverStatus,S2C,,
5101,ItemExchangeInvitationRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.exchange,C2S,L,
5102,ItemExchangeInvitationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.exchange,S2C,,LLbb
5103,ItemExchangeInvitationAnswerMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.exchange,C2S,Lb,
5104,ItemExchangeInvitationConfirmationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.exchange,S2C,,bLL
5105,ItemExchangeAddCardMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.exchange,C2S,,
5106,ItemExchangeRemoveCardMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.exchange,C2S,,
5107,ItemExchangeSetReadyMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.exchange,C2S,L,
5108,ItemExchangeCancelMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.exchange,C2S,L,
5109,ItemExchangeCardAddedMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.exchange,S2C,,LbS
5110,ItemExchangeCardRemovedMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.exchange,S2C,,LbS
5111,ItemExchangeEndMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.exchange,S2C,,bL
5112,ItemExchangeUserReadyMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.exchange,S2C,,Lb
5200,CoachInventoryUpdateMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.coachManagement,S2C,,SSSSSSSL
5201,CoachEquipmentUpdateRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.coachManagement,C2S,L,
5202,CoachEquipmentUpdateMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.coachManagement,S2C,,LSb
5203,CoachInventoryUpdateRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.coachManagement,C2S,SLSSLSSLS,
6000,CreationFighterInformationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,,bLSb
6001,CreateFighterInformationRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,Sb,
6002,DeletionFighterInformationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,,bL
6003,DeleteFighterInformationRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,L,
6005,FighterInformationListRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,,
6006,FighterInformationListMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,b,bLSb
6010,UpdatedFighterInformationInventoryMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,,LbSbSb
6011,UpdateFighterInventoryRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,LSbSb,
6020,SaveTeamPresetMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,,b
6021,SaveTeamPresetRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,,
6022,DeletionTeamPresetMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,,bS
6023,DeleteTeamPresetRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,S,
6030,TeamPresetListMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement,S2C,,b
6031,TeamPresetListRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.teamManagement,C2S,,
6200,EffectAreaActionMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,bLL
8000,FightCreationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,bSbIIbbbbbbSbbIbLbIbLLIIS
8010,StartPresentationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8011,TeamMateSetReadyForPlacementRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,,
8012,TeamMateSetReadyForPlacementMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,L
8018,EndPresentationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8020,StartPlacementMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8021,MoveToFreePlacementRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,LIIS,
8022,MoveToFreePlacementMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,LIIS
8023,TeamMateSetReadyForObservationRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,,
8024,TeamMateSetReadyForObservationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,L
8028,EndPlacementMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8030,StartObservationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8031,TeamMateSetReadyForActionRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,,
8032,TeamMateSetReadyForActionMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,L
8038,EndObservationMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8040,StartActionMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,
8100,NewTableTurnBeginMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,bI
8104,FighterTurnBeginMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,L
8105,FighterEndTurnRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,L,
8106,FighterTurnEndMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,L
8107,FighterCardUseRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,LIIIS,
8108,FighterCardUseMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,LbIbbIIS
8109,SpellCastRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,LIIIS,
8110,SpellCastMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,LIbbIIS
8111,CloseCombatRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,LIIS,
8112,CloseCombatMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,LbbIIS
8120,RunningEffectActionMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,bbIbIL
8151,GiveUpFightRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight,C2S,,
8192,QueueNotificationMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,S2C,,I
8193,ConsoleAdminCommandMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,C2S,bb,
8194,ConsoleAdminCommandResultMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,S2C,,bSb
8195,DefaultResultsMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,?,,
8195,QueryResultsResultsMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,S2C,,I
8200,FightActionSequenceExecute,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.action,S2C,,
8300,EndFightMessage,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight,S2C,,bSbbLSSbbLSSbSbSbbLbIb
16384,UIChangeLanguageRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.connection,?,,
16385,UILogonRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.connection,?,,
16400,UICoachCreationMessage,com.ankamagames.dofusarena.client.ui.protocol.message.connection,?,,
16500,UIFightInvitationAcceptRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.fight,?,,
16501,UIFightInvitationRejectRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.fight,?,,
16600,UIReadyForFightRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.teamManagement,?,,
16617,UISelectTeamPresetRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.teamManagement,?,,
16801,UIExchangeInvitationAcceptRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.exchange,?,,
16802,UIExchangeInvitationRejectRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.exchange,?,,
16803,UIReadyForExchangeRequestMessage,com.ankamagames.dofusarena.client.ui.protocol.message.exchange,?,,
19000,UIChatContentMessage,com.ankamagames.dofusarena.client.ui.protocol.message.chat,?,,
19001,UIChatPipeSelectionMessage,com.ankamagames.dofusarena.client.ui.protocol.message.chat,?,,
30000,UIWorldSceneMouseReleasedMessage,com.ankamagames.dofusarena.client.ui.protocol.message.worldScene,?,,
30001,UIWorldSceneMouseMovedMessage,com.ankamagames.dofusarena.client.ui.protocol.message.worldScene,?,,
